"Author Name","Video Source"
"Apex Dental & Orthodontic Clinic-Best Dental clinic (where Quality meets Affordability)","https://lh3.googleusercontent.com/a-/ALV-UjU7SgmFSn1F6Nabtx7iGq6VlCikYq108sFVyLzlLkugBq944YY=s100-p-k-no-mo"
"Apex Dental & Orthodontic Clinic-Best Dental clinic (where Quality meets Affordability)","https://lh3.googleusercontent.com/a-/ALV-UjU7SgmFSn1F6Nabtx7iGq6VlCikYq108sFVyLzlLkugBq944YY=s100-p-k-no-mo"
"Apex Dental & Orthodontic Clinic-Best Dental clinic (where Quality meets Affordability)","https://lh3.googleusercontent.com/a-/ALV-UjU7SgmFSn1F6Nabtx7iGq6VlCikYq108sFVyLzlLkugBq944YY=s100-p-k-no-mo"
"mahantesh sajjanshetty","https://lh3.googleusercontent.com/a/ACg8ocLHFVSV2n1kGfgi9JGrnkGAqfb5HihGDGzhQ3jmW1UirnzB-Q=s100-p-k-no-mo"
